lemma	paradigm	tags	sources_count	source_flags
זקוף	ת		2	HL
חשוב	ת		2	HL
דרוך	ת		2	HL
דלוח	ת		1	H
עכור	ת		2	HL
מתון	ת		2	HL
קשוח	ת		2	HL
עלוב	ת		2	HL
תלול	ת		2	HL
צלול	ת		2	HL
חלול	ת		2	HL
הגון	ת		2	HL
אדוק	ת		2	HL
סדור	ת		2	HL
נחוש	ת		2	HL
בטוח	ת		2	HL
צפוף	ת		2	HL
תכוף	ת		2	HL
צנוע	ת		2	HL
צבוע	ת		2	HL
הדור	ת		2	HL
ברוך	ת		2	HL
חסוד	ת		1	H
חרוף	ת	#,rarely,used,in,modern,text,,easily,confused,for,חירוף...	1	H
טחוב	ת		1	H
קבוע	ת		2	HL
קדום	ת		2	HL
אטום	ת		2	HL
אסור	ת		2	HL
רדוד	ת		2	HL
נחוץ	ת		2	HL
שקול	ת		2	HL
שקוף	ת		2	HL
רדום	ת		2	HL
רהוט	ת		2	HL
שנון	ת		2	HL
כבוד	ת	#,literary,,more,often,used,in,feminine	2	HL
מרוד	ת		2	HL
תמוה	ת,שמור_ה		2	HL
שפוף	ת		2	HL
כפוף	ת		2	HL
מכור	ת	#,addicted,(the,same,word,can,also,mean,"has,been,sold")	2	HL
דחוף	ת		2	HL
להוט	ת		2	HL
זחוח	ת		2	HL
שטוח	ת		2	HL
אמון	ת		2	HL
קעור	ת		2	HL
כעור	ת	#,literary	1	H
שחון	ת		1	H
קמור	ת		2	HL
סגור	ת		2	HL
פתוח	ת		2	HL
בתול	ת		2	HL
נתון	ת		2	HL
פצוע	ת		2	HL
ספון	ת		2	HL
שדוף	ת		1	H
פעוט	ת	#,with,shuruk,(little)	2	HL
מלוח	ת		2	HL
תפוח	ת		2	HL
נפוח	ת		2	HL
פשוט	ת		2	HL
חמוץ	ת		2	HL
ברוא	ת		1	H
מסור	ת		2	HL
ירוד	ת		2	HL
טרוט	ת		2	HL
דבור	ת		2	HL
זמום	ת		1	H
צנוף	ת		1	H
צפוד	ת		1	H
קמוץ	ת		1	H
מעוט	ת	#,As,in,the,phrase,מעוטי,יכולת	2	HL
שתום	ת	#,Only,in,the,phrase,שתום,עין.,In,the,bible,meant,"open",but,later,,following,סתום,,became,to,mean,one,eye,is,closed.	2	HL
שתוק	ת	#,literary,-,silent	2	HL
לבוד	ת	#,archaic	2	HL
שתוקי	ת	#,Judaism,-,person,with,unknown,father	1	H
צרוי	ת	#,has,צירי,niqqud.,Mostly,used,in,feminine,,because,letter,names,are,feminine.	1	H
מצוי	ת		2	HL
קלוי	ת		2	HL
שפוי	ת		2	HL
סמוי	ת		2	HL
בזוי	ת		2	HL
חפוי	ת		1	H
חבוי	ת		2	HL
עשוי	ת	#,hmm,,is,this,really,an,adjective?	2	HL
רwוי	ת	#,רווי.,see,comment,in,wolig.pl,in,why,we,have,"w",here.	1	H
דwוי	ת	#,דווי.	1	H
כרוי	ת		1	H
לקוי	ת	#,see,לקות.	2	HL
כמות	ע		2	HL
כמותי	ת		2	HL
שפיות	ע		2	HL
קוממיות	ע		2	HL
כפיות	ע	#,mainly,in,the,expression:,כפיות,טובה	2	HL
רעננות	ע		2	HL
רענן	ת		2	HL
אישיות	ע,יות		2	HL
אישיותי	ת		2	HL
קטנוניות	ע		2	HL
קטנוני	ת		2	HL
ישנוני	ת	#,[3],considers,this,colloquial	2	HL
אפלוליות	ע		1	H
אפלולי	ת		2	HL
יבשושי	ת	#,[3],and,[4],don't,recognize,this,word,,but,[5],does.,It,is,used,in,the,figurative,(and,almost,colloquial),sense,of,יבש,,meaning,"boring".,Personally,,I,think,this,word,is,redundant,,perhaps,coined,in,order,to,remove,the,figurative,sense,of,יבש?	1	H
אפרוריות	ע		1	H
אפרורי	ת		2	HL
ערמומיות	ע		2	HL
ערמומי	ת		2	HL
סהרוריות	ע		1	H
סהרורי	ת		2	HL
זערוריות	ע		1	H
זערורי	ת		1	H
נכלוליות	ע		1	H
נכלולי	ת		1	H
שמנוניות	ע		1	H
שמנוני	ת		2	HL
ודאי	ע,אין_נטיות		2	HL
ודאיות	ע		2	HL
ודאי	ת		2	HL
צחות	ע		2	HL
צח	ת		2	HL
רכות	ע		2	HL
רך	ת		2	HL
חפות	ע		2	HL
חף	ת		2	HL
לחות	ע		2	HL
לח	ת		2	HL
דלות	ע,יחיד		2	HL
דל	ת		2	HL
זהות	ע	#,note,segol,,not,tsere,,in,zain	2	HL
זהותי	ת		2	HL
זהה	ת		2	HL
כהות	ע,יחיד		2	HL
כהה	ת		2	HL
קהות	ע,יחיד		2	HL
קהה	ת		2	HL
גסות	ע		2	HL
גס	ת		2	HL
קלות	ע		2	HL
קל	ת		2	HL
חדות	ע		2	HL
חד	ת		2	HL
חיצון	ת		2	HL
חיצוני	ת		2	HL
חיצוניות	ע		2	HL
חושני	ת		2	HL
חושניות	ע		2	HL
טרפז	ע		2	HL
היות	ע,יחיד		2	HL
חצות	ע,יחיד		2	HL
כלות	ע,יחיד		2	HL
ענות	ע,אין_נטיות	#,as,in,the,phrase,קול,ענות,חלושה	2	HL
הלוך	ע,יחיד,אין_כינויים	#,in,phrases,like,הלוך,ו...,Note,that,לכת,is,also,a,maqor,of,the,save,verb,הולך.	2	HL
חזור	ע,אין_נטיות	#,in,phrases,like,הלוך,וחזור	2	HL
צאת	ע,יחיד		2	HL
שוב	ע,יחיד		2	HL
בוא	ע,יחיד		2	HL
דעת	ע,יחיד	#,TODO:,reconsider,this,word.,There's,already,דעה...	2	HL
לכת	ע,ים		2	HL
רדת	ע,יחיד		2	HL
הלל	ע,אין_נטיות		2	HL
היווסד	ע,יחיד		1	H
היוולד	ע,יחיד		1	H
הימצא	ע,יחיד		1	H
היבחר	ע,יחיד		1	H
היעלם	ע,יחיד	#,note,yod,added,for,tsere!	1	H
הירצח	ע,יחיד		1	H
מלאת	ע,יחיד	#,Usually,in,the,phrase,במלאת.,Note,cholam,in,lamed.,[4],and,[5],add,waw:,מלאות.	2	HL
קרוא	ע,אין_נטיות	#,Note,vav,added,for,niqqud-less,spelling.,In,the,phrase,יודע,קרוא,וכתוב	2	HL
מצוא	ע,אין_נטיות	#,in,the,phrase,לעת,מצוא	2	HL
כתוב	ע,אין_נטיות	#,Note,vav,added,for,niqqud-less,spelling.,In,the,phrase,יודע,קרוא,וכתוב	2	HL
יחיד	ת		2	HL
יחידי	ת		2	HL
יחידאי	ת		2	HL
יחידני	ת	#,translation,of,the,adjective,"individual"	2	HL
קליף	ת		2	HL
שביר	ת		2	HL
יביל	ת		1	H
נתיק	ת		1	H
שכיר	ע		2	HL
שכירה	ע		2	HL
עשיר	ע,אין_כינויי_יחיד		2	HL
עשירה	ע,אין_כינויי_יחיד		2	HL
שפיר	ת		2	HL
הביל	ת		1	H
טמיר	ת	#,note,that,טמיר,means,anigmatic,,תמיר,means,tall.	2	HL
תמיר	ת		2	HL
תמירות	ע,יחיד		1	H
ישים	ת		2	HL
בחיר	ת	#,בחיר-לבה,,וכו'.,Nifrad,is,useless,,and,should,not,be,confused,with,בכיר...	2	HL
דליק	ת		2	HL
זעיר	ת		2	HL
זעירות	ע,יחיד		2	HL
צחיח	ת		2	HL
צחיחות	ע,יחיד		1	H
נגיש	ת		2	HL
נגישות	ע	#,[3],doesn't,recognize,this,word.,But,[1],does.	2	HL
דליל	ת		2	HL
דלילות	ע		2	HL
שמיש	ת		2	HL
שמישות	ע,יחיד		1	H
בריא	ת		2	HL
בריאות	ע		2	HL
בריאותי	ת	#,not,recognized,by,[3],,but,found,in,rav-milim.	2	HL
אמין	ת		2	HL
אמינות	ע		2	HL
נזיל	ת		2	HL
נזילות	ע,יחיד		2	HL
נדיף	ת	#,not,in,[3]	2	HL
נדיפות	ע,יחיד		1	H
נשיר	ת		2	HL
רגיש	ת		2	HL
רגישות	ע		2	HL
נדיב	ת		2	HL
נדיבות	ע		2	HL
נדיר	ת		2	HL
נדירות	ע,יחיד		2	HL
שליף	ת		1	H
יהירות	ע		2	HL
יהיר	ת		2	HL
כשיר	ת		2	HL
כשירות	ע		2	HL
צמיג	ת		2	HL
צמיגי	ת		2	HL
צמיגות	ע,יחיד		2	HL
צפיד	ת		1	H
צפידות	ע,יחיד		1	H
ישיר	ת		2	HL
ישירות	ע,יחיד		2	HL
עקיף	ת		2	HL
עפיץ	ת		1	H
עפיצות	ע,יחיד		1	H
המיר	ת		2	HL
המירות	ע,יחיד		1	H
כשר	ת		2	HL
כשרות	ע		2	HL
יעיל	ת		2	HL
שאנן	ת		2	HL
שאננות	ע		2	HL
נשי	ת		2	HL
נשיות	ע		2	HL
מדיני	ת		2	HL
מדיניות	ע		2	HL
מהות	ע		2	HL
מהותי	ת		2	HL
גלות	ע		2	HL
גלותי	ת		2	HL
זרות	ע		2	HL
הגות	ע	#,[2],[3],say,יחיד.,[1],and,rav-milim,disagree.	2	HL
הגותי	ת		2	HL
מרות	ע		2	HL
חזות	ע		2	HL
חזותי	ת		2	HL
חסות	ע		2	HL
נכות	ע		2	HL
אזרחות	ע		2	HL
אוננות	ע	#,note,kamats,in,first,nun.	2	HL
אחריות	ע,יות		2	HL
ריקנות	ע,יחיד		2	HL
ריקן	ת,נקבה_ית		2	HL
ריקני	ת	#,found,in,[4],,but,not,in,[3].	2	HL
כללות	ע,יחיד		2	HL
רשות	ע		2	HL
גזענות	ע		2	HL
גזען	ת,נקבה_ית		2	HL
כבאות	ע,יחיד		2	HL
גזעני	ת	#,[3],doesn't,recognize,this,form,,but,Rav-milim,does.	2	HL
אבהות	ע,יחיד		2	HL
אבהי	ת		2	HL
קדחתנות	ע,יחיד		1	H
קדחתני	ת		2	HL
בוגדנות	ע,יחיד		1	H
בוגדני	ת		2	HL
מתירן	ת,נקבה_ית		1	H
מתירנות	ע,יחיד		1	H
מתירני	ת		1	H
פלצות	ע,יחיד		2	HL
שבתאות	ע,אין_נטיות		1	H
שדאות	ע,יחיד		1	H
עדות	ע		2	HL
הוללות	ע		2	HL
רוממות	ע,יחיד		2	HL
גאות	ע	#,Note:,despite,the,א,being,gronit,,there,is,no,tashlum,dagesh,and,there,is,no,reason,to,add,yod,(compare:,חירות).	2	HL
גא	ת	#,see,also,גאה	2	HL
כנות	ע		2	HL
כן	ת		2	HL
ערות	ע		2	HL
ער	ת		2	HL
גרות	ע		2	HL
גר	ת		2	HL
ערני	ת		2	HL
ערנות	ע		2	HL
ישות	ע		2	HL
רעות	ע		2	HL
עד	ע		2	HL
שת	ע,ות,שמור_ת,זכר	#,ישבן;,not,in,modern,use.,TODO:,reconsider,this,word.	2	HL
עט	ע		2	HL
זר	ע		2	HL
רח	ע,יים,אין_יחיד,זכר,נקבה	#,רחיים.,the,form,"ריחיים",is,incorrect,-,the,yod,is,unnecessary.,NOTE:,[2],and,[3],think,this,word,can,be,both,feminine,and,masculine,,while,[1],and,[4],say,it,can,only,be,masculine.	1	H
לץ	ע		2	HL
זד	ע	#,אויב,מרושע.,Not,useful,in,modern,texts...	2	HL
מת	ע,ים		2	HL
מתה	ע		2	HL
מת	ע,ים,אין_יחיד	#,rare,word,meaning,"people",,used,especially,in,מתי-מעט.	2	HL
הד	ע		2	HL
אל	ע		2	HL
שד	ע		2	HL
בר	ע	#,grain,(spelling,with,kamats,-,for,"wild",,see,בר,with,patach).	2	HL
נר	ע,ות		2	HL
אד	ע,אין_כינויי_יחיד		2	HL
ראשית	ע		2	HL
ראשיתי	ת		1	H
ראשיתיות	ע		1	H
מלית	ע		2	HL
מחית	ע	#,פירה.,note,shva,in,mem,,not,kamats,like,popularly,pronounced.	2	HL
תוכית	ע	#,grammar,term	1	H
סופית	ע	#,grammar,term	2	HL
מוספית	ע	#,grammar,term	1	H
מסורית	ע	#,The,spelling,משורית,is,considered,archaic.	1	H
זכוכית	ע		2	HL
צדודית	ע		1	H
כרוכית	ע	#,strudel	1	H
פסוקית	ע		2	HL
כתובית	ע		2	HL
שקופית	ע		2	HL
זגוגית	ע		2	HL
זגוגי	ת		1	H
סנונית	ע		2	HL
שלולית	ע		2	HL
תלולית	ע		2	HL
כרובית	ע		2	HL
שעועית	ע,רבים=שעועים	#,both,[1],and,[3],insist,on,שעועים,,not,שעועיות.	2	HL
מפוחית	ע		2	HL
כדורית	ע		2	HL
חלילית	ע		1	H
אפיפית	ע		1	H
שפירית	ע		2	HL
צפיחית	ע	#,arachic,,used,in,phrase,"צפיחית,בדבש".	1	H
אדמומית	ע		1	H
אדמומי	ת		1	H
נקבובית	ע		1	H
נקבובי	ת		1	H
נקבוביות	ע		2	HL
גבשושית	ע		2	HL
לחלוחית	ע,יחיד		2	HL
אפלולית	ע		2	HL
רקבובית	ע,יחיד		1	H
רקבובי	ת		1	H
זרבובית	ע		2	HL
שלפוחית	ע		2	HL
עקמומית	ע		1	H
משכוכית	ע		1	H
גחלילית	ע		1	H
משרוקית	ע		2	HL
תחתונית	ע		1	H
מרכולית	ע	#,minimarket	1	H
קיסוסית	ע	#,kind,of,plant	1	H
שקערורית	ע		1	H
שקערורי	ת		1	H
פלנלית	ע	#,army,term	1	H
חלמונית	ע	#,kind,of,plant	1	H
לימונית	ע	#,kind,of,plant	1	H
בלורית	ע		2	HL
צנונית	ע		1	H
לשונית	ע		2	HL
צלוחית	ע		2	HL
קרונית	ע		1	H
פנימית	ע		2	HL
ארונית	ע	#,strangely,,not,in,[3].,Found,in,[1],and,[4].	2	HL
קונכית	ע	#,note,cholam,,not,shuruk,also:,קונכייה.	1	H
עינית	ע		2	HL
ביצית	ע		2	HL
כוסית	ע		2	HL
חוחית	ע		1	H
מונית	ע		2	HL
חולית	ע	#,דיונה	2	HL
רירית	ע		2	HL
גירית	ע		2	HL
בירית	ע		1	H
גיגית	ע		2	HL
עירית	ע	#,unfortunately,,עירית,is,also,a,misspelling,of,smichut,of,עיריה...	2	HL
סיבית	ע,יחיד		2	HL
לוחית	ע		2	HL
נורית	ע		2	HL
דוגית	ע	#,a,slightly,archaic,term...	2	HL
פומית	ע		1	H
בועית	ע		1	H
שונית	ע		2	HL
מקבילית	ע		1	H
קטנית	ע	#,according,to,[1],and,[3],and,Rav-Millim,,the,word,קטנייה,does,not,exist.	1	H
דסקית	ע		1	H
דבקית	ע		1	H
פתקית	ע		1	H
רשתית	ע		2	HL
סדקית	ע,יחיד		2	HL
אלתית	ע		1	H
חלמית	ע	#,kind,of,plant	1	H
תבנית	ע		2	HL
תבניתי	ת	#,in,[4],but,not,in,[3].,Commonly,used,in,the,phrase,דגש,חזק,תבניתי.	1	H
לחמית	ע	#,part,of,eye	1	H
כספית	ע,אין_נטיות		2	HL
חרסית	ע,אין_נטיות		2	HL
קרדית	ע		1	H
עצמית	ע		2	HL
משכית	ע	#,literary	2	HL
מגבית	ע		2	HL
ירכית	ע	#,tunic	1	H
קרצית	ע	#,according,to,[1],and,[3],,the,word,קרצייה,does,not,exist.,[4],calls,קרצייה,a,"non-standard,form".,[5],lists,it,(with,an,additional,meaning,of,"annoying,person"),,and,refers,to,קרצית,for,the,bug.	1	H
מרבית	ע,יחיד		2	HL
אבנית	ע,יחיד		1	H
מטלית	ע		2	HL
מראית	ע		2	HL
צלמית	ע		2	HL
פרגית	ע		2	HL
קרנית	ע		2	HL
חרצית	ע		2	HL
קשתית	ע		2	HL
תדמית	ע		2	HL
תדמיתי	ת		2	HL
תשתית	ע		2	HL
תשתיתי	ת		1	H
תגליף	ע		1	H
תפנית	ע		2	HL
תרמית	ע		2	HL
תרבית	ע		2	HL
חביתית	ע		1	H
קשית	ע		2	HL
שקית	ע		2	HL
כפית	ע		2	HL
מפית	ע		2	HL
טסית	ע	#,medical,term,,usually,in,the,phrase,טסיות,דם.	1	H
ציצית	ע		2	HL
תחתית	ע		2	HL
תגלית	ע		2	HL
תמצית	ע		2	HL
תמציתי	ת		2	HL
תמציתיות	ע		1	H
תקרית	ע		2	HL
תצפית	ע		2	HL
תצפיתי	ת	#,science,term,(not,in,[3],or,[4])	1	H
תמנית	ע	#,Prof.,Ornan,uses,this,for,"token",,I,believe.	1	H
תכלית	ע		2	HL
תכליתי	ת		2	HL
תכליתיות	ע		2	HL
תקנון	ע		2	HL
תקנוני	ת	#,[4],has,this,,but,[3],doesn't.,TODO:,reconsider,if,this,is,useful,at,all.	1	H
אשכולית	ע		2	HL
כרמלית	ע,אין_נטיות	#,Originally,a,religious,term,,recently,used,to,name,the,subway,in,Haifa.	2	HL
תפוז	ע		2	HL
תפוד	ע		1	H
לימון	ע		2	HL
לימוני	ת		2	HL
אתרוג	ע		2	HL
לולב	ע		2	HL
מדורה	ע		2	HL
תענית	ע		2	HL
שחרית	ע,אין_נטיות	#,name,of,prayer.,[4],says,there,is,a,plural.	2	HL
מעלית	ע		2	HL
אחרית	ע		2	HL
קערית	ע		2	HL
מחצית	ע		2	HL
תחזית	ע		2	HL
צללית	ע		2	HL
תזזית	ע		2	HL
תזזיתי	ת		1	H
תגית	ע		2	HL
דלית	ע		2	HL
חבית	ע		2	HL
מרית	ע		2	HL
כרית	ע		2	HL
פגית	ע	#,means,larva	1	H
רקדן	ע		2	HL
אילנית	ע	#,kind,of,frog	2	HL
ניסנית	ע	#,kind,of,plant	1	H
ניצנית	ע	#,kind,of,plant	1	H
קרקעית	ע		2	HL
גזית	ע,אין_נטיות		2	HL
דבורנית	ע,אין_נטיות	#,kind,of,plant	1	H
רקדנית	ע		2	HL
פחזנית	ע		1	H
מרגנית	ע		2	HL
לחצנית	ע		1	H
מחסנית	ע		2	HL
לכסנית	ע	#,kind,of,pill,that,disolves,in,the,mouth	1	H
שעמנית	ע,אין_נטיות	#,Hebrew,for,לינולאום	1	H
יצאנית	ע		2	HL
יצאנות	ע,יחיד		1	H
נפקנית	ע	#,In,Arameic,,נפק,means,יצא,,so,נפקנית,is,the,same,as,יצאנית	1	H
קורנית	ע	#,this,is,"thyme",,in,Hebrew	2	HL
לחמנית	ע		1	H
מרגלית	ע		2	HL
מפרשית	ע		2	HL
חשמלית	ע		2	HL
אספלנית	ע	#,פלסטר	1	H
עששית	ע		2	HL
חזזית	ע		2	HL
שממית	ע		2	HL
אקרית	ע		1	H
חצאית	ע		2	HL
כונן	ע		2	HL
כוננית	ע		2	HL
צידנית	ע		1	H
פקח	ע		2	HL
פקחית	ע		2	HL
חללית	ע		2	HL
כלנית	ע		2	HL
כוכבית	ע		2	HL
ידית	ע		2	HL
עסק	ע		2	HL
עסקי	ת		2	HL
עסקן	ע		2	HL
עסקנית	ע		1	H
עסקנות	ע		1	H
אוסף	ע		2	HL
אספן	ע		2	HL
אספנית	ע		1	H
אספנות	ע		2	HL
נדבן	ע		2	HL
נדבנית	ע		1	H
נדבנות	ע,יחיד		1	H
שארית	ע		2	HL
אמון	ע		2	HL
יאוש	ע		2	HL
תאום	ע		2	HL
סנגור	ע		2	HL
סנגורית	ע		1	H
סנגוריה	ע,אין_נטיות		2	HL
קטגור	ע		1	H
קטגורית	ע		2	HL
קטגורי	ת		1	H
שאלון	ע		2	HL
הסתדרות	ע		2	HL
הסתדרותי	ת		1	H
זונה	ע		2	HL
זנותי	ת		1	H
זנות	ע,יחיד		2	HL
התכוננות	ע		2	HL
התערבות	ע		2	HL
ערבות	ע		2	HL
משמעות	ע		2	HL
משמעותי	ת		2	HL
פרט	ע		2	HL
פרטי	ת		2	HL
פרטיות	ע		2	HL
סבב	ע	#,not,recognized,by,[1],,but,[3],does,have,it,and,it,is,commonly,used.,Note,niqqud,like,פרט,)shwa,kamats(,,not,two,segols.	2	HL
זמם	ע		2	HL
גרר	ע,אין_נטיות		2	HL
ספר	ע,אין_נטיות		2	HL
שמד	ע,אין_נטיות		2	HL
שאר	ע,אין_נטיות		2	HL
סרק	ע,אין_נטיות		2	HL
שרד	ע,אין_נטיות	#,in,phrases,like,מכונית,שרד.	2	HL
דחק	ע,אין_נטיות		2	HL
דרש	ע,אין_נטיות		2	HL
פשט	ע,אין_נטיות		2	HL
סתם	ע,אין_נטיות		2	HL
סתמי	ת		2	HL
סתמיות	ע		2	HL
רקק	ע,אין_נטיות	#,old,word,for,swamp;,nowadays,only,in,phrase,דג,רקק.	2	HL
גמר	ע,אין_נטיות	#,[4],allows,the,plural,גמרים,(as,colloquial),,but,[4],and,[5],don't.,To,me,it,sounds,too,colloquial,,with,the,correct,phrase,being,"משחקי,גמר".	2	HL
בדל	ע	#,Note,the,plural,smichut,is,"bdalei",,unlike,common,pronunciation,"bidlei".	2	HL
צלב	ע		2	HL
קדל	ע,אין_כינויים	#,means,עורף.,Rare,,and,appears,in,the,phrase,קדל,חזיר	1	H
לשד	ע,יחיד		2	HL
טחב	ע	#,yes,,moss,is,with,a,shva.,the,inflections,aren't,very,useful...	2	HL
מכל	ע	#,Note,shva,in,mem,(not,a,tsere,,and,therefore,no,reason,to,write,מיכל)	2	HL
מכלית	ע		2	HL
קלף	ע		2	HL
פקק	ע		2	HL
יהב	ע,יחיד		2	HL
יקר	ע,יחיד		2	HL
רבב	ע		2	HL
שבב	ע		2	HL
סגן	ע		2	HL
סגנית	ע		2	HL
סגנות	ע,יחיד		1	H
פגם	ע		2	HL
כלל	ע		2	HL
כללי	ת		2	HL
כלליות	ע		2	HL
כתב	ע		2	HL
שטר	ע,ים,ות	#,normally,,ות,plural,is,used,but,י-,smichut,plural!,TODO:,what?	2	HL
פסק	ע		2	HL
כפר	ע		2	HL
כפרי	ת		2	HL
כפריות	ע		2	HL
עירוני	ת		2	HL
נחצי	ת	#,linguistics,term	1	H
קרב	ע,ות		2	HL
קרבי	ת		2	HL
צבת	ע,ות,שמור_ת		2	HL
קנס	ע,ות		2	HL
ענק	ע		2	HL
ענקי	ת		2	HL
ענקיות	ע		2	HL
ענקות	ע,יחיד	#,There,appears,to,be,a,controversy,whether,the,medical,problem,gigantism,should,be,called,ענקיות,,or,is,there,another,word,ענקות.,[5],says,there's,<F11ענקות,,and,[1],[3],and,[4],say,there,is,not,such,a,word.,Note,everyone,accepts,the,word,גמדות,,so,why,not,also,ענקות?,TODO:,reconsider.	1	H
ננסות	ע,יחיד	#,same,issue,as,in,ענקות,above.	1	H
חטף	ע	#,quickness.,used,for,"בחטף",(quickly),,חטף-פתח,,etc.,Inflections,aren't,useful,,but,[1],and,[2],have,them.	2	HL
חשש	ע,ות		2	HL
חשד	ע,ות		2	HL
ערר	ע		2	HL
אנך	ע		2	HL
אנכי	ת		2	HL
אתר	ע		2	HL
חתך	ע		2	HL
ננס	ע		2	HL
ננסי	ת		2	HL
ננסיות	ע		1	H
ננסה	ע	#,[3],says,ננסת,is,also,acceptable,,in,addition,to,ננסה,,ננסית	2	HL
ננסית	ע		1	H
נסיך	ע		2	HL
נסיכה	ע		2	HL
נסיכות	ע		2	HL
מלך	ע		2	HL
מלכה	ע		2	HL
אגודל	ע		2	HL
עולם	ע,ות,ים		2	HL
שובך	ע	#,[1],and,[3],also,mention,archaic,ות,plural.	2	HL
קולב	ע		2	HL
תוסף	ע		2	HL
גוזל	ע		2	HL
עולמי	ת		2	HL
סורג	ע	#,[3],and,[2],says,tsere,in,resh,,but,[1],and,modern,usage,says,kamats!	2	HL
צופר	ע		2	HL
עולל	ע	#,The,academia,accepts,two,pronunciations:,with,tsere,to,kamats,in,lamed.	2	HL
תוצר	ע		2	HL
תוצא	ע	#,means,"effect".	2	HL
תותב	ע		2	HL
תותב	ת,נקבה_ת		2	HL
עוגב	ע		2	HL
מוסר	ע,יחיד		2	HL
מוסרי	ת		2	HL
מוסריות	ע		2	HL
מוצר	ע		2	HL
מוצק	ע		2	HL
מומר	ע		2	HL
מובן	ע		2	HL
מוסף	ע		2	HL
כלונס	ע,אות	#,[3],prefers,ות,,but,[1],and,[4],allow,only,אות.,An,explicit,Academia,decision,from,May,23,,2005,(http://hebrew-academy.huji.ac.il/decision3.html),says,that,its,"main",plural,form,is,אות.	1	H
מוסד	ע,ות		2	HL
מוסדי	ת		2	HL
מותר	ע,ות,אין_כינויי_יחיד	#,usually,used,in,plural,,and,in,some,expressions,(למותר,לציין),in,singular,nismach.	2	HL
שופר	ע,ות	#,[1],also,allows,ים,but,[3],and,[4],and,I,think,only,ות.	2	HL
אוצר	ע,ות		2	HL
חותם	ע,ות	#,yes,,[1],,[2],and,[3],agree,on,ות.	2	HL
גורל	ע,ות		2	HL
גורלי	ת		2	HL
גורליות	ע		2	HL
מולד	ע,ות		2	HL
מורד	ע,ות		2	HL
מופע	ע		2	HL
מושב	ע		2	HL
מושבי	ת		2	HL
מושבניק	ת,נקבה_ית	#,called,slang,by,[3],and,[4]	1	H
שועל	ע		2	HL
שועלה	ע		1	H
נופר	ע	#,water,lily.,Note,that,[3],and,[4],write,this,with,shuruk,,but,popular,pronunciation,(especially,as,a,girl's,name),is,with,cholam.	2	HL
סימן	ע		2	HL
סימנית	ע		1	H
אפיקומן	ע		2	HL
תירס	ע	#,usually,pronounced,in,מלעיל..	2	HL
סידן	ע,אין_נטיות		2	HL
צורן	ע,אין_נטיות		2	HL
ראשן	ע		2	HL
עמילן	ע		2	HL
ביתן	ע		2	HL
יינן	ע		2	HL
ייננית	ע		1	H
ייננות	ע,יחיד	#,not,found,in,[3],or,[4],,but,I,don't,see,why,not,to,list,it.	1	H
ריחן	ע,אין_נטיות		2	HL
ליצן	ע	#,[4],prefers,the,spelling,ליצן,but,[3],calls,this,"non-standard,nowadays",and,prefers,לצן.,In,לשוננו,לעם,נא-נב,ד,,"כללי,נטיית,השם",,page,177,,says,"השמות,לצן,,לצנות,מנוקדים,צירי,חסר".,TODO:,change,our,decision,to,match,the,Academia's.	2	HL
ליצנית	ע		1	H
ליצנות	ע		2	HL
מימן	ע,אין_נטיות		2	HL
מימני	ת		2	HL
קולן	ע		2	HL
דודן	ע		2	HL
דודנית	ע		1	H
יומן	ע		2	HL
רודן	ע		2	HL
רודנית	ע		1	H
רודני	ת		2	HL
תורן	ת,נקבה_ית		2	HL
סולן	ע		2	HL
סולנית	ע		2	HL
אילן	ע,ות		2	HL
קיסר	ע		2	HL
קיסרי	ת		2	HL
קיסרות	ע		2	HL
איתן	ע	#,inflections,used,in,phrases,like,הוא,חזר,לאיתנו,,איתני,הטבע.	2	HL
איתן	ת		2	HL
היכל	ע,ות,ים		2	HL
הילך	ע,אין_נטיות	#,Only,in,the,phrase,הילך,חוקי.	2	HL
לילך	ע		2	HL
מיתר	ע		2	HL
דיוקן	ע,אות	#,[1],says,ים,,but,[3],and,the,Acadmia's,decision,(on,their,site),say,אות.	2	HL
מיזם	ע		2	HL
קיסם	ע		2	HL
דוכן	ע		2	HL
מידע	ע		2	HL
מיזע	ע	#,The,official,Hebrew,version,of,"sweater".	1	H
מיטב	ע		2	HL
מיטבי	ת		2	HL
מוצא	ע		2	HL
דודא	ע	#,kind,of,plant,-,Mandrake	2	HL
אמורא	ע		2	HL
צאצא	ע		2	HL
צאצאית	ע	#,not,recognized,by,[3],or,[4],,but,commonly,used.	1	H
מקפא	ע		1	H
ממצא	ע		2	HL
מבטא	ע		2	HL
מורא	ע		2	HL
נורא	ת		2	HL
נוראי	ת		2	HL
תושב	ע		2	HL
אביזר	ע		2	HL
אדריכל	ע		2	HL
אדריכלית	ע		2	HL
אדריכלות	ע		2	HL
אדריכלי	ת		2	HL
פסיפס	ע		2	HL
עכברוש	ע		2	HL
מקק	ע		2	HL
אמונה	ע		2	HL
אמוני	ת		2	HL
פרוזדור	ע		2	HL
שושבין	ע		2	HL
שושבינה	ע		2	HL
שושבינות	ע,יחיד		1	H
גגון	ע		2	HL
נחתום	ע	#,literary,,baker.	2	HL
תריסריון	ע		1	H
מכשול	ע		2	HL
דגלון	ע		1	H
דבקון	ע	#,kind,of,plant	1	H
מסרון	ע	#,Hebrew,for,SMS	2	HL
מלקוש	ע,אין_נטיות	#,last,rain	1	H
